"ProcessId","ProcessName","Path","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"12528","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","2606:4700:110:82a0:670c:1173:4e1a:c39b","63009","2603:1036:2406::","443","Established"
"12528","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","2606:4700:110:82a0:670c:1173:4e1a:c39b","62488","2603:1063:8::391","443","Established"
"12952","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.125\msedgewebview2.exe","","","","",""
"14416","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"16512","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.54\msedgewebview2.exe","","","","",""
"18060","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.125\msedgewebview2.exe","","","","",""
"18200","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.125\msedgewebview2.exe","","","","",""
"19260","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.125\msedgewebview2.exe","","","","",""
"5196","MsMpEng",,"","","","",""
"12140","ms-teams","C:\Program Files\WindowsApps\MSTeams_25212.2204.3869.2204_x64__8wekyb3d8bbwe\ms-teams.exe","::","62502","::","0","Bound"
"12140","ms-teams","C:\Program Files\WindowsApps\MSTeams_25212.2204.3869.2204_x64__8wekyb3d8bbwe\ms-teams.exe","2606:4700:110:82a0:670c:1173:4e1a:c39b","62502","2603:1063:8::391","443","Established"
"14972","ms-teams","C:\Program Files\WindowsApps\MSTeams_25212.2204.3869.2204_x64__8wekyb3d8bbwe\ms-teams.exe","","","","",""
"3376","NetworkCap",,"","","","",""
"8024","NgcIso",,"","","","",""
"8340","NisSrv",,"","","","",""
"11628","Notepad","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2507.26.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","","","","",""
"13572","OfficeClickToRun",,"","","","",""
"4404","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.12111.0_x64__8wekyb3d8bbwe\OpenConsole.exe","","","","",""
"18324","PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25081.83.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","","","","",""
"4816","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","","","","",""
"17296","RadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.22.20073.0_x64__0a9344xs7nr4m\radeonsoftware\RadeonSoftware.exe","","","","",""
"232","Registry",,"","","","",""
"5164","RtkAudUService64",,"","","","",""
"6012","RtkAudUService64",,"","","","",""
"12256","RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_d315e0ae42c5f5e6\RtkAudUService64.exe","","","","",""
"5132","RtkBtManServ",,"","","","",""
"1464","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","","","","",""
"4176","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","","","","",""
"8452","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","","","","",""
"10940","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","","","","",""
"14784","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","","","","",""
"18600","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","","","","",""
"9644","SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","","","","",""
"8788","SearchIndexer",,"","","","",""
"12820","SearchProtocolHost",,"","","","",""
"12224","SECOCL64","C:\WINDOWS\System32\SECOCL64.exe","","","","",""
"5272","SECOMN64",,"","","","",""
"188","Secure System",,"","","","",""
"3084","SecurityHealthService",,"","","","",""
"9984","SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","","","","",""
"1276","services",,"::","49671","::","0","Listen"
"1276","services",,"0.0.0.0","49671","0.0.0.0","0","Listen"
"8604","ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","","","","",""
"14808","ShellHost","C:\Windows\System32\ShellHost.exe","","","","",""
"20296","sihost","C:\WINDOWS\system32\sihost.exe","","","","",""
"720","smss",,"","","","",""
"4804","spoolsv",,"::","49668","::","0","Listen"
"4804","spoolsv",,"0.0.0.0","49668","0.0.0.0","0","Listen"
"13248","StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","","","","",""
"1324","svchost",,"","","","",""
"1384","svchost",,"","","","",""
"1440","svchost",,"","","","",""
"1468","svchost",,"","","","",""
"1560","svchost",,"","","","",""
"1600","svchost",,"::","135","::","0","Listen"
"1600","svchost",,"0.0.0.0","135","0.0.0.0","0","Listen"
"1652","svchost",,"","","","",""
"1796","svchost",,"","","","",""
"1852","svchost",,"","","","",""
"1888","svchost",,"","","","",""
"1924","svchost",,"","","","",""
"1932","svchost",,"","","","",""
"1992","svchost",,"","","","",""
"2012","svchost",,"","","","",""
